name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;330;0;561;3079;1074;3079;1074;0
header;213;90;213;140;1864;140;1864;90
A;1028;159;1028;186;1051;186;1051;159
B;778;210;778;227;793;227;793;210
B;798;294;798;320;815;320;815;294
B;1039;807;1039;832;1062;832;1062;807
C;1035;1470;1035;1503;1058;1503;1058;1470
D;574;1659;574;1686;596;1686;596;1659
B;733;1714;733;1731;743;1731;743;1714
D;733;1851;733;1869;748;1869;748;1851
A;901;2129;901;2143;909;2143;909;2129
D;1039;2136;1039;2162;1059;2162;1059;2136
A;1061;2536;1061;2536;1062;2536;1062;2536
