name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;887;0;887;3079;1607;3079;1282;0
header;118;205;118;246;1741;246;1741;205
A;919;270;919;295;941;295;941;270
A;899;280;899;284;903;284;903;280
B;916;935;916;964;939;964;939;935
A;1135;1400;1135;1402;1139;1402;1139;1400
D;988;1473;988;1499;1009;1499;1009;1473
C;918;1670;918;1700;941;1700;941;1670
A;1346;1684;1346;1685;1348;1685;1348;1684
A;940;2099;940;2101;943;2101;943;2099
B;1156;2228;1156;2239;1164;2239;1164;2228
D;956;2300;956;2327;986;2327;986;2300
D;918;2345;918;2374;941;2374;941;2345
A;1214;2734;1214;2734;1214;2734;1214;2734
B;895;2824;895;2843;905;2843;905;2824
